symbol,open,high,low,close,volume,preclose,stockpctchange,date1,ma10,ma20,ma50,volumeMa10,dollarVolume,range,avgRange,adr,min10,max10,symbolToCopy,pct10d
TPC,17.840000000000000000,18.000000000000000000,17.360000000000000000,17.990000000000000000,555600.000000000000000000,17.390000000000000000,3.450000000000000000,2024-05-03,15.96,14.99,13.63,619460.0,1.1144085399999999E7,1.036866,20.947666,4.738330000000013,13.520000000000000000,17.990000000000000000,"nyse:TPC,",33.062100
WNS,45.970000000000000000,46.280000000000000000,44.510000000000000000,45.160000000000000000,509000.000000000000000000,45.230000000000000000,-0.150000000000000000,2024-05-03,44.39,46.48,51.33,695900.0,3.1426843999999996E7,1.039766,20.991104,4.955519999999991,40.170000000000000000,48.700000000000000000,"nyse:WNS,",21.234800
WOLF,24.530000000000000000,25.680000000000000000,24.217500000000000000,25.330000000000000000,5927700.000000000000000000,23.560000000000000000,7.510000000000000000,2024-05-03,25.2,25.57,26.5,7254380.0,1.8375344539999998E8,1.060390,21.381470,6.907350000000001,22.570000000000000000,27.850000000000000000,"nyse:WOLF,",23.393900
XPEV,9.120000000000000000,9.297100000000000000,8.930000000000000000,9.060000000000000000,16610900.000000000000000000,9.400000000000000000,-3.620000000000000000,2024-05-03,7.9,7.71,8.46,1.457387E7,1.320392622E8,1.041109,20.968684,4.843419999999998,6.980000000000000000,9.400000000000000000,"nyse:XPEV,",34.670500
BMA,57.000000000000000000,60.590000000000000000,56.270000000000000000,60.220000000000000000,640500.000000000000000000,56.110000000000000000,7.320000000000000000,2024-05-03,53.31,51.56,47.07,471780.0,2.8410591599999998E7,1.076773,21.219795,6.0989750000000065,48.980000000000000000,60.220000000000000000,"nyse:BMA,",22.948100
CZOO,10.700000000000000000,10.730000000000000000,9.206900000000000000,9.490000000000000000,384100.000000000000000000,10.550000000000000000,-10.050000000000000000,2024-05-03,9.64,9.06,6.93,4488130.0,4.25923537E7,1.165430,25.801976,29.00988,4.990000000000000000,11.890000000000000000,"nyse:CZOO,",138.276600
GEV,155.630000000000000000,167.170000000000000000,155.140000000000000000,166.260000000000000000,4635100.000000000000000000,153.830000000000000000,8.080000000000000000,2024-05-03,151.66,142.83,141.87,4209260.0,6.998315675999999E8,1.077543,20.985190,4.925950000000001,136.690000000000000000,166.260000000000000000,"nyse:GEV,",21.632900
JMIA,5.130000000000000000,5.340000000000000000,4.950000000000000000,5.060000000000000000,3183600.000000000000000000,4.900000000000000000,3.270000000000000000,2024-05-03,4.56,4.51,5.38,2045070.0,1.03480542E7,1.078788,21.483936,7.419679999999995,4.160000000000000000,5.060000000000000000,"nyse:JMIA,",21.634600
OUST,9.950000000000000000,10.210000000000000000,9.560000000000000000,9.660000000000000000,764800.000000000000000000,9.610000000000000000,0.520000000000000000,2024-05-03,8.51,8.2,6.95,897860.0,8673327.6,1.067992,21.787805,8.93902499999999,7.030000000000000000,9.660000000000000000,"nyse:OUST,",37.411100
TGS,18.600000000000000000,19.850000000000000000,18.274600000000000000,19.200000000000000000,283200.000000000000000000,18.500000000000000000,3.780000000000000000,2024-05-03,17.33,16.95,15.19,250310.0,4805952.0,1.086207,21.157911,5.789555000000002,15.960000000000000000,19.200000000000000000,"nyse:TGS,",20.300800
ZIM,12.680000000000000000,12.950000000000000000,12.610000000000000000,12.880000000000000000,2598800.000000000000000000,12.520000000000000000,2.880000000000000000,2024-05-03,12.37,11.34,10.98,4300430.0,5.5389538400000006E7,1.026963,21.102560,5.512800000000007,11.060000000000000000,13.360000000000000000,"nyse:ZIM,",20.795700
CAVA,70.050000000000000000,72.629900000000000000,69.279800000000000000,72.170000000000000000,2391300.000000000000000000,68.200000000000000000,5.820000000000000000,2024-05-03,66.33,64.48,63.58,2623260.0,1.8932067420000002E8,1.048356,21.122035,5.610175000000006,59.610000000000000000,72.170000000000000000,"nyse:CAVA,",21.070300
GME,12.420000000000000000,17.450000000000000000,12.310000000000000000,16.470000000000000000,36292400.000000000000000000,12.760000000000000000,29.080000000000000000,2024-05-03,11.67,11.15,12.75,7750000.0,1.2764249999999999E8,1.417547,21.530639,7.653195000000013,10.010000000000000000,16.470000000000000000,"nyse:GME,",64.535500
PBI,5.310000000000000000,5.510000000000000000,5.170000000000000000,5.270000000000000000,3468000.000000000000000000,5.250000000000000000,0.380000000000000000,2024-05-03,4.41,4.23,4.17,1918760.0,1.01118652E7,1.065764,21.064067,5.320334999999998,4.130000000000000000,5.270000000000000000,"nyse:PBI,",27.602900
SG,21.770000000000000000,22.690000000000000000,21.770000000000000000,22.100000000000000000,2097700.000000000000000000,21.340000000000000000,3.560000000000000000,2024-05-03,22.19,22.17,21.18,2705170.0,5.978425700000001E7,1.042260,21.500443,7.502215000000012,19.910000000000000000,24.530000000000000000,"nyse:SG,",23.204400
SMR,6.130000000000000000,6.300000000000000000,5.880000000000000000,6.160000000000000000,2194700.000000000000000000,6.030000000000000000,2.160000000000000000,2024-05-03,5.77,5.49,5.27,2645260.0,1.62948016E7,1.071429,21.799851,8.999255000000005,4.930000000000000000,6.160000000000000000,"nyse:SMR,",24.949300
SNAP,16.530000000000000000,16.530000000000000000,16.040000000000000000,16.250000000000000000,23896800.000000000000000000,16.300000000000000000,-0.310000000000000000,2024-05-03,13.75,12.37,11.72,5.292423E7,8.600187375E8,1.030549,21.128896,5.644479999999996,11.080000000000000000,16.300000000000000000,"nyse:SNAP,",47.111900
VRT,94.180000000000000000,94.880000000000000000,92.560000000000000000,93.010000000000000000,4749000.000000000000000000,92.170000000000000000,0.910000000000000000,2024-05-03,88.51,85.35,79.18,1.305438E7,1.2141878838E9,1.025065,21.253055,6.2652750000000035,76.070000000000000000,94.800000000000000000,"nyse:VRT,",24.622100
VST,80.600000000000000000,83.030000000000000000,80.071500000000000000,81.490000000000000000,5588500.000000000000000000,79.870000000000000000,2.030000000000000000,2024-05-03,74.28,71.76,66.37,5221940.0,4.2553589059999996E8,1.036948,21.044571,5.222855000000015,66.720000000000000000,81.490000000000000000,"nyse:VST,",22.137300
W,61.730000000000000000,63.640000000000000000,60.320000000000000000,63.590000000000000000,8825300.000000000000000000,58.640000000000000000,8.440000000000000000,2024-05-03,54.24,56.69,59.61,6185930.0,3.9336328870000005E8,1.055040,21.129592,5.647959999999985,50.150000000000000000,63.590000000000000000,"nyse:W,",26.799600
ASPN,24.400000000000000000,25.650000000000000000,23.400000000000000000,25.110000000000000000,3351800.000000000000000000,23.850000000000000000,5.280000000000000000,2024-05-03,17.68,16.73,16.71,2078500.0,5.2191135E7,1.096154,21.238169,6.190845,15.180000000000000000,25.110000000000000000,"nyse:ASPN,",65.415000
BE,11.840000000000000000,12.230000000000000000,11.600000000000000000,11.800000000000000000,4200400.000000000000000000,11.440000000000000000,3.150000000000000000,2024-05-03,10.56,10.6,10.27,5303250.0,6.257835000000001E7,1.054310,21.180345,5.901724999999991,9.320000000000000000,11.800000000000000000,"nyse:BE,",26.609400
BFH,41.790000000000000000,41.790000000000000000,40.090000000000000000,40.810000000000000000,766000.000000000000000000,41.210000000000000000,-0.970000000000000000,2024-05-03,37.45,35.95,36.72,984210.0,4.01656101E7,1.042405,20.909228,4.5461399999999985,34.220000000000000000,41.210000000000000000,"nyse:BFH,",20.426700
GCTS,5.200000000000000000,6.140000000000000000,5.200000000000000000,6.090000000000000000,629300.000000000000000000,5.070000000000000000,20.120000000000000000,2024-05-03,4.91,5.37,6.47,303420.0,1847827.8,1.180769,22.849040,14.245200000000002,4.400000000000000000,6.090000000000000000,"nyse:GCTS,",38.409100
MAX,22.360000000000000000,22.998000000000000000,20.960000000000000000,22.200000000000000000,1211800.000000000000000000,22.080000000000000000,0.540000000000000000,2024-05-03,19.88,19.45,19.88,549370.0,1.2196014E7,1.097233,21.237602,6.188009999999999,18.410000000000000000,22.200000000000000000,"nyse:MAX,",20.586600
SKIL,7.320000000000000000,7.447500000000000000,7.180000000000000000,7.240000000000000000,46300.000000000000000000,7.180000000000000000,0.840000000000000000,2024-05-03,7.03,7.35,9.11,125540.0,908909.6,1.037256,22.938717,14.693584999999999,5.570000000000000000,8.600000000000000000,"nyse:SKIL,",54.398600
SMLP,28.250000000000000000,35.890000000000000000,28.250000000000000000,34.020000000000000000,132500.000000000000000000,28.160000000000000000,20.810000000000000000,2024-05-03,28.78,28.47,24.87,35820.0,1218596.4000000001,1.270442,20.837184,4.1859199999999985,27.490000000000000000,34.020000000000000000,"nyse:SMLP,",23.754100
