A,291761000
AA,179562000
AAC,602766747
AACG,63929000
AACI,7127000
AACIW,0
AACT,50000000
AADI,24554000
AAIC,0
AAIC^B,0
AAIC^C,0
AAIN,0
AAL,656090000
AAMC,2555000
AAME,20400000
AAM^A,0
AAM^B,0
AAN,30626000
AAOI,38908000
AAON,82209000
AAP,59622000
AAPL,15334080000
AAT,60894000
AAU,1146363330
AB,115064000
ABBV,1765868000
ABC,650610624
ABCB,69107000
ABCL,294054000
ABCM,0
ABEO,40963000
ABEV,15757660000
ABG,20172000
ABIO,14507000
ABL,63985000
ABLLW,0
ABM,62764000
ABNB,441500000
ABOS,60080000
ABR,188515000
ABR^D,0
ABR^E,0
ABR^F,0
ABSI,113084000
ABST,0
ABT,1739634000
ABUS,188717000
ABVC,10852000
AC,2451000
ACA,48583000
ACAB,8167000
ACABU,30000000
ACABW,0
ACAC,1815000
ACACW,0
ACAD,165221000
ACAH,0
ACAHW,0
ACAQ,0
ACAX,0
ACAXR,0
ACAXU,0
ACAXW,0
ACB,54539000
ACBA,0
ACBAU,0
ACCD,78357000
ACCO,95640000
ACDC,159936000
ACDCW,0
ACEL,83746000
ACER,0
ACET,82174000
ACGL,375494000
ACGLN,20000000
ACGLO,13200000
ACGN,0
ACHC,92775000
ACHL,41088000
ACHR,285345000
ACHV,34341000
ACI,475139072
ACIU,99198000
ACIW,105440000
ACLS,32532000
ACLX,53503000
ACM,136127000
ACMR,56987000
ACN,628729000
ACNB,8540000
ACNT,10130000
ACON,8211000
ACONW,0
ACOR,0
ACP,52110000
ACP^A,0
ACR,7959000
ACRE,54507000
ACRO,3469138591
ACRS,71265000
ACRV,30877000
ACRX,0
ACR^C,0
ACR^D,0
ACST,9399000
ACT,157292000
ACTG,99895000
ACU,3662000
ACV,10371000
ACVA,147965000
ACXP,15843000
ADAG,55196000
ADAP,1533372000
ADBE,448000000
ADC,100626000
ADCT,96226000
ADC^A,0
ADD,22511000
ADEA,108507000
ADER,0
ADERU,0
ADERW,0
ADES,589896800
ADEX,0
ADI,496217000
ADIL,4233000
ADILW,0
ADM,494438000
ADMA,231809000
ADMP,0
ADN,2587000
ADNT,89824000
ADNWW,0
ADOC,14398513
ADOCW,0
ADP,409291000
ADPT,147368000
ADRT,2942000
ADSE,50585000
ADSK,216000000
ADT,855629000
ADTH,91958000
ADTHW,0
ADTN,79117000
ADTX,1994000
ADUS,16370000
ADV,322180000
ADVM,20757000
ADVWW,0
ADX,124014000
ADXN,184354000
AE,2567000
AEAE,6238000
AEAEW,0
AEE,266670000
AEF,50752000
AEFC,0
AEG,1814727000
AEHL,6865000
AEHR,28915000
AEI,9235000
AEIS,37443000
AEL,411275639
AEL^A,0
AEL^B,0
AEM,498193000
AEMD,9230000
AENT,50937000
AENTW,0
AENZ,0
AEO,196430000
AEP,527122000
AEPPZ,0
AER,210120000
AES,710667000
AESC,0
AESI,109850000
AEVA,52847000
AEY,0
AEYE,11658000
AEZS,0
AFAR,2907000
AFARU,11500000
AFB,28745000
AFBI,6417000
AFCG,0
AFG,83867000
AFGB,5000000
AFGC,8000000
AFGD,6000000
AFGE,8000000
AFIB,29722000
AFL,568222000
AFMD,15227000
AFRI,26879000
AFRIW,0
AFRM,263838000
AFT,15574000
AFTR,0
AFYA,44254000
AG,291073000
AGAC,0
AGAE,45515000
AGBA,81741000
AGBAW,0
AGCO,74620000
AGD,12550000
AGE,0
AGEN,20999000
AGFY,14229000
AGI,397905000
AGIL,0
AGILW,0
AGIO,56773000
AGL,411262000
AGLE,0
AGM,9350000
AGMH,24255000
AGM^C,0
AGM^D,0
AGM^E,0
AGM^F,0
AGM^G,0
AGNC,735937000
AGNCL,6000000
AGNCM,9400000
AGNCN,13000000
AGNCO,16100000
AGNCP,23000000
AGO,54443000
AGR,387010000
AGRI,64504000
AGRIW,0
AGRO,104135000
AGRX,2964000
AGS,40051000
AGTI,0
AGX,13354000
AGYS,27454000
AHCO,133202000
AHG,440051000
AHH,67073000
AHH^A,0
AHI,0
AHL^C,0
AHL^D,0
AHL^E,0
AHT,42406000
AHT^D,0
AHT^F,0
AHT^G,0
AHT^H,0
AHT^I,0
AI,118549000
AIB,0
AIBBR,0
AIBBU,0
AIC,0
AIF,14468000
AIG,663668000
AIG^A,0
AIH,0
AIHS,9568000
AIM,57137000
