symbol,open,high,low,close,volume,preclose,stockpctchange,date1,ma10,ma20,ma50,volumeMa10,dollarVolume,range,avgRange,adr,min10,max10,symbolToCopy,pct10d
CGC,10.540000000000000000,11.270000000000000000,10.020000000000000000,10.240000000000000000,15724800.000000000000000000,10.340000000000000000,-0.970000000000000000,2024-05-03,9.87,8.95,6.63,2.412529E7,2.470429696E8,1.124750,23.869958,19.349790000000013,7.850000000000000000,14.880000000000000000,"NASDAQ:CGC,",89.554100
COGT,7.330000000000000000,7.720000000000000000,7.330000000000000000,7.530000000000000000,846300.000000000000000000,7.290000000000000000,3.290000000000000000,2024-05-03,6.76,6.68,6.75,1412060.0,1.06328118E7,1.053206,21.357668,6.788339999999993,6.010000000000000000,7.530000000000000000,"NASDAQ:COGT,",25.291200
DAVE,45.820000000000000000,46.319100000000000000,43.220000000000000000,45.140000000000000000,56100.000000000000000000,43.880000000000000000,2.870000000000000000,2024-05-03,43.33,39.33,35.79,109600.0,4947344.0,1.071705,21.839010,9.195049999999982,36.220000000000000000,48.240000000000000000,"NASDAQ:DAVE,",33.186100
DAWN,18.000000000000000000,18.000000000000000000,17.130000000000000000,17.170000000000000000,1163400.000000000000000000,17.570000000000000000,-2.280000000000000000,2024-05-03,16.14,15.3,15.42,2647370.0,4.5455342900000006E7,1.050788,21.600692,8.003459999999984,13.210000000000000000,17.690000000000000000,"NASDAQ:DAWN,",33.913700
DJT,47.470000000000000000,48.925000000000000000,44.290000000000000000,47.930000000000000000,5791000.000000000000000000,48.680000000000000000,-1.540000000000000000,2024-05-03,42.21,37.07,40.94,7581790.0,3.633951947E8,1.104651,23.025552,15.127760000000002,32.570000000000000000,49.930000000000000000,"NASDAQ:DJT,",53.300600
DNTH,24.620000000000000000,26.665000000000000000,23.519400000000000000,25.800000000000000000,203600.000000000000000000,24.010000000000000000,7.460000000000000000,2024-05-03,22.61,23.35,25.45,165710.0,4275318.0,1.133745,21.763057,8.815284999999996,20.990000000000000000,25.800000000000000000,"NASDAQ:DNTH,",22.915700
FLNC,20.040000000000000000,20.930000000000000000,20.020000000000000000,20.900000000000000000,3275500.000000000000000000,19.490000000000000000,7.230000000000000000,2024-05-03,17.66,16.92,16.03,1863630.0,3.8949867E7,1.045455,21.074392,5.371959999999998,15.690000000000000000,20.900000000000000000,"NASDAQ:FLNC,",33.205900
GRRR,5.880000000000000000,6.350000000000000000,5.500000000000000000,5.640000000000000000,348600.000000000000000000,6.060000000000000000,-6.930000000000000000,2024-05-03,5.55,4.27,2.18,671720.0,3788500.8,1.154545,22.515250,12.57625,5.000000000000000000,6.060000000000000000,"NASDAQ:GRRR,",21.200000
IOVA,13.460000000000000000,13.879900000000000000,13.300000000000000000,13.630000000000000000,4292800.000000000000000000,12.880000000000000000,5.820000000000000000,2024-05-03,12.09,12.2,13.99,3832210.0,5.2233022300000004E7,1.043602,21.068830,5.344149999999992,11.320000000000000000,13.630000000000000000,"NASDAQ:IOVA,",20.406400
JSPR,24.370000000000000000,25.095000000000000000,24.041100000000000000,24.520000000000000000,58000.000000000000000000,23.980000000000000000,2.250000000000000000,2024-05-03,22.65,24.5,25.24,65700.0,1610964.0,1.043837,21.425129,7.125644999999992,20.400000000000000000,24.520000000000000000,"NASDAQ:JSPR,",20.196100
LFMD,12.520000000000000000,12.800000000000000000,12.245000000000000000,12.510000000000000000,870400.000000000000000000,12.490000000000000000,0.160000000000000000,2024-05-03,11.53,10.73,9.86,673150.0,8421106.5,1.045325,21.278776,6.393880000000007,10.000000000000000000,12.510000000000000000,"NASDAQ:LFMD,",25.100000
NVCT,6.930000000000000000,8.290000000000000000,6.900000000000000000,8.140000000000000000,110700.000000000000000000,6.760000000000000000,20.410000000000000000,2024-05-03,6.74,6.92,8.31,79380.0,646153.2000000001,1.201449,21.840153,9.200765,6.080000000000000000,8.140000000000000000,"NASDAQ:NVCT,",33.881600
NVDL,37.410000000000000000,38.670000000000000000,36.810000000000000000,38.250000000000000000,15142600.000000000000000000,35.800000000000000000,6.840000000000000000,2024-05-03,34.87,35.94,86.37,1.701857E7,6.509603025E8,1.050530,21.942397,9.71198499999999,31.210000000000000000,38.250000000000000000,"NASDAQ:NVDL,",22.556900
OPRX,10.940000000000000000,10.970000000000000000,10.600000000000000000,10.620000000000000000,103000.000000000000000000,10.700000000000000000,-0.750000000000000000,2024-05-03,9.81,10.09,12.17,178480.0,1895457.5999999999,1.034906,21.112682,5.563410000000002,8.800000000000000000,10.700000000000000000,"NASDAQ:OPRX,",21.590900
PI,162.400000000000000000,163.450000000000000000,158.090000000000000000,161.230000000000000000,336400.000000000000000000,159.730000000000000000,0.940000000000000000,2024-05-03,146.38,134.0,124.42,922190.0,1.486846937E8,1.033905,21.026407,5.13203499999999,120.270000000000000000,161.230000000000000000,"NASDAQ:PI,",34.056700
POWL,162.160000000000000000,163.736000000000000000,156.300000000000000000,159.950000000000000000,317200.000000000000000000,160.580000000000000000,-0.390000000000000000,2024-05-03,150.71,139.87,148.57,427730.0,6.84154135E7,1.047575,21.119083,5.595415000000004,136.130000000000000000,170.010000000000000000,"NASDAQ:POWL,",24.888000
PROP,14.710000000000000000,14.899900000000000000,14.200000000000000000,14.440000000000000000,106800.000000000000000000,14.600000000000000000,-1.100000000000000000,2024-05-03,14.3,14.08,11.7,204780.0,2957023.1999999997,1.049289,22.117221,10.586105000000012,11.820000000000000000,15.130000000000000000,"NASDAQ:PROP,",28.003400
QUIK,13.610000000000000000,14.219400000000000000,13.501100000000000000,13.920000000000000000,210800.000000000000000000,13.430000000000000000,3.650000000000000000,2024-05-03,13.65,13.35,14.95,445010.0,6194539.2,1.053203,21.150222,5.751109999999993,11.780000000000000000,15.460000000000000000,"NASDAQ:QUIK,",31.239400
RCKY,34.630000000000000000,35.689900000000000000,34.000000000000000000,35.110000000000000000,84900.000000000000000000,34.000000000000000000,3.260000000000000000,2024-05-03,28.84,27.66,27.04,57820.0,2030060.2,1.049703,20.998623,4.993114999999992,25.770000000000000000,35.110000000000000000,"NASDAQ:RCKY,",36.243700
